campaign_id,campaign_name,campaign_type,brand,product_category,channel_id,campaign_start_date,campaign_end_date,campaign_budget,campaign_status
CA001,Reebok Brand Awareness,Brand Awareness,Reebok,Apparel,CH002,2024-02-02,2024-05-02,639039,Active
CA002,Reebok Lead Generation,Lead Generation,Reebok,Apparel,CH005,2025-01-16,2025-04-16,225922,Completed
CA003,Reebok Seasonal,Seasonal,Reebok,Shoes,CH007,2024-04-26,2024-06-10,596286,Completed
CA004,Reebok Lead Generation,Lead Generation,Reebok,Apparel,CH001,2024-06-01,2024-07-01,336290,Completed
CA005,Nike Product Launch,Product Launch,Nike,Shoes,CH008,2024-06-23,2024-08-22,701468,Completed
CA006,Under Armour Lead Generation,Lead Generation,Under Armour,Apparel,CH002,2025-04-04,2025-07-03,296020,Completed
CA007,Reebok Brand Awareness,Brand Awareness,Reebok,Apparel,CH001,2025-12-02,2025-12-31,655131,Completed
CA008,Under Armour Seasonal,Seasonal,Under Armour,Accesories,CH005,2024-05-18,2024-06-17,361593,Completed
CA009,Reebok Remarketing,Remarketing,Reebok,Apparel,CH005,2024-02-16,2024-03-17,221879,Completed
CA010,Nike Brand Awareness,Brand Awareness,Nike,Accesories,CH004,2024-08-18,2024-11-16,427770,Completed
CA011,Puma Product Launch,Product Launch,Puma,Accesories,CH005,2025-05-14,2025-08-12,684153,Completed
CA012,Adidas Lead Generation,Lead Generation,Adidas,Shoes,CH001,2025-08-31,2025-11-29,151549,Active
CA013,Puma Lead Generation,Lead Generation,Puma,Apparel,CH001,2025-04-22,2025-06-06,288652,Completed
CA014,Puma Remarketing,Remarketing,Puma,Accesories,CH005,2025-10-29,2025-12-13,148192,Completed
CA015,Reebok Brand Awareness,Brand Awareness,Reebok,Shoes,CH005,2024-05-03,2024-07-02,489157,Completed
CA016,Under Armour Flash Sale,Flash Sale,Under Armour,Shoes,CH002,2025-05-28,2025-07-12,165902,Completed
CA017,Under Armour Brand Awareness,Brand Awareness,Under Armour,Apparel,CH005,2025-11-17,2025-12-31,698739,Completed
CA018,Nike Product Launch,Product Launch,Nike,Accesories,CH001,2024-04-15,2024-07-14,602508,Completed
CA019,Adidas Brand Awareness,Brand Awareness,Adidas,Shoes,CH008,2025-02-28,2025-04-29,411087,Completed
CA020,Reebok Lead Generation,Lead Generation,Reebok,Shoes,CH003,2025-07-08,2025-08-07,305829,Active
CA021,Puma Remarketing,Remarketing,Puma,Apparel,CH008,2025-12-08,2025-12-31,100380,Completed
CA022,Under Armour Seasonal,Seasonal,Under Armour,Shoes,CH006,2024-03-29,2024-05-28,303186,Completed
CA023,Reebok Lead Generation,Lead Generation,Reebok,Accesories,CH001,2025-02-23,2025-03-25,343433,Completed
CA024,Adidas Remarketing,Remarketing,Adidas,Apparel,CH002,2025-08-01,2025-10-30,192525,Completed
CA025,Reebok Flash Sale,Flash Sale,Reebok,Shoes,CH002,2024-08-05,2024-10-04,146664,Completed
CA026,Adidas Seasonal,Seasonal,Adidas,Apparel,CH008,2025-04-08,2025-07-07,558876,Completed
CA027,Adidas Lead Generation,Lead Generation,Adidas,Apparel,CH007,2025-03-24,2025-04-23,318645,Completed
CA028,Adidas Remarketing,Remarketing,Adidas,Accesories,CH006,2024-12-18,2025-02-01,122139,Completed
CA029,Reebok Lead Generation,Lead Generation,Reebok,Accesories,CH001,2025-11-06,2025-12-31,246732,Completed
CA030,Puma Remarketing,Remarketing,Puma,Apparel,CH001,2025-07-21,2025-09-19,144376,Completed
CA031,Adidas Flash Sale,Flash Sale,Adidas,Apparel,CH005,2025-01-08,2025-02-22,84932,Completed
CA032,Nike Brand Awareness,Brand Awareness,Nike,Accesories,CH008,2024-03-02,2024-05-31,592871,Completed
CA033,Reebok Lead Generation,Lead Generation,Reebok,Apparel,CH001,2024-08-29,2024-10-28,283951,Active
CA034,Puma Seasonal,Seasonal,Puma,Apparel,CH005,2025-12-03,2025-12-31,353640,Active
CA035,Puma Flash Sale,Flash Sale,Puma,Accesories,CH008,2024-02-06,2024-05-06,159036,Completed
CA036,Puma Flash Sale,Flash Sale,Puma,Shoes,CH008,2025-11-30,2025-12-31,144416,Completed
CA037,Adidas Flash Sale,Flash Sale,Adidas,Accesories,CH008,2025-09-03,2025-10-18,129220,Completed
CA038,Reebok Flash Sale,Flash Sale,Reebok,Accesories,CH007,2024-11-24,2025-01-08,138068,Completed
CA039,Nike Seasonal,Seasonal,Nike,Shoes,CH001,2025-04-20,2025-06-04,517089,Completed
CA040,Adidas Seasonal,Seasonal,Adidas,Accesories,CH003,2025-09-08,2025-10-08,496895,Completed
CA041,Under Armour Lead Generation,Lead Generation,Under Armour,Accesories,CH007,2025-11-21,2025-12-21,369640,Completed
CA042,Puma Seasonal,Seasonal,Puma,Accesories,CH001,2024-04-05,2024-07-04,592470,Completed
