customer_id,city,state,audience_segment,gender,age_group
CU00000001,Chennai,Tamil Nadu,Young Professionals,Female,18-24
CU00000002,Delhi,Delhi,Parents,Male,18-24
CU00000003,Mumbai,Maharashtra,Fitness Enthusiasts,Female,35-44
CU00000004,Pune,Maharashtra,Young Professionals,Male,25-34
CU00000005,Bangalore,Karnataka,Students,Female,25-34
CU00000006,Kolkata,West Bengal,Parents,Female,25-34
CU00000007,Chennai,Tamil Nadu,Gamers,Female,55+
CU00000008,Chennai,Tamil Nadu,Gamers,Male,18-24
CU00000009,Hyderabad,Telangana,Young Professionals,Female,18-24
CU00000010,Chennai,Tamil Nadu,Young Professionals,Female,35-44
CU00000011,Delhi,Delhi,Gamers,Male,45-54
CU00000012,Kolkata,West Bengal,Gamers,Male,35-44
CU00000013,Chennai,Tamil Nadu,Corporate,Male,25-34
CU00000014,Delhi,Delhi,Fitness Enthusiasts,Male,18-24
CU00000015,Hyderabad,Telangana,Young Professionals,Female,45-54
CU00000016,Pune,Maharashtra,Fitness Enthusiasts,Male,18-24
CU00000017,Delhi,Delhi,Students,Male,45-54
CU00000018,Bangalore,Karnataka,Fitness Enthusiasts,Male,18-24
CU00000019,Kolkata,West Bengal,Students,Male,35-44
CU00000020,Kolkata,West Bengal,Young Professionals,Male,35-44
CU00000021,Bangalore,Karnataka,Gamers,Male,25-34
CU00000022,Hyderabad,Telangana,Young Professionals,Male,35-44
CU00000023,Chennai,Tamil Nadu,Fitness Enthusiasts,Female,45-54
CU00000024,Chennai,Tamil Nadu,Corporate,Male,55+
CU00000025,Pune,Maharashtra,Parents,Male,25-34
CU00000026,Delhi,Delhi,Students,Male,18-24
CU00000027,Bangalore,Karnataka,Young Professionals,Female,35-44
CU00000028,Bangalore,Karnataka,Fitness Enthusiasts,Male,25-34
CU00000029,Chennai,Tamil Nadu,Students,Male,25-34
CU00000030,Pune,Maharashtra,Students,Male,25-34
CU00000031,Bangalore,Karnataka,Gamers,Male,45-54
CU00000032,Hyderabad,Telangana,Gamers,Female,45-54
CU00000033,Kolkata,West Bengal,Parents,Male,18-24
CU00000034,Kolkata,West Bengal,Fitness Enthusiasts,Female,35-44
CU00000035,Pune,Maharashtra,Fitness Enthusiasts,Male,55+
CU00000036,Bangalore,Karnataka,Corporate,Male,25-34
CU00000037,Chennai,Tamil Nadu,Young Professionals,Male,18-24
CU00000038,Mumbai,Maharashtra,Young Professionals,Female,45-54
CU00000039,Hyderabad,Telangana,Fitness Enthusiasts,Female,35-44
CU00000040,Chennai,Tamil Nadu,Young Professionals,Female,35-44
CU00000041,Delhi,Delhi,Students,Female,25-34
CU00000042,Delhi,Delhi,Fitness Enthusiasts,Female,25-34
CU00000043,Chennai,Tamil Nadu,Young Professionals,Female,18-24
CU00000044,Kolkata,West Bengal,Young Professionals,Male,45-54
CU00000045,Mumbai,Maharashtra,Gamers,Female,45-54
CU00000046,Hyderabad,Telangana,Gamers,Male,25-34
CU00000047,Mumbai,Maharashtra,Fitness Enthusiasts,Female,35-44
CU00000048,Bangalore,Karnataka,Parents,Male,18-24
CU00000049,Hyderabad,Telangana,Young Professionals,Male,25-34
CU00000050,Chennai,Tamil Nadu,Students,Female,35-44
CU00000051,Kolkata,West Bengal,Corporate,Female,18-24
CU00000052,Pune,Maharashtra,Students,Female,18-24
CU00000053,Bangalore,Karnataka,Young Professionals,Male,55+
CU00000054,Kolkata,West Bengal,Parents,Male,35-44
CU00000055,Chennai,Tamil Nadu,Gamers,Male,45-54
CU00000056,Chennai,Tamil Nadu,Young Professionals,Male,35-44
CU00000057,Bangalore,Karnataka,Students,Male,25-34
CU00000058,Kolkata,West Bengal,Parents,Female,18-24
CU00000059,Hyderabad,Telangana,Young Professionals,Female,35-44
CU00000060,Hyderabad,Telangana,Fitness Enthusiasts,Male,35-44
CU00000061,Delhi,Delhi,Fitness Enthusiasts,Female,45-54
CU00000062,Hyderabad,Telangana,Fitness Enthusiasts,Male,25-34
CU00000063,Pune,Maharashtra,Young Professionals,Female,25-34
CU00000064,Hyderabad,Telangana,Students,Female,25-34
CU00000065,Mumbai,Maharashtra,Young Professionals,Male,18-24
CU00000066,Kolkata,West Bengal,Gamers,Male,35-44
CU00000067,Hyderabad,Telangana,Fitness Enthusiasts,Male,25-34
CU00000068,Pune,Maharashtra,Gamers,Male,25-34
CU00000069,Mumbai,Maharashtra,Corporate,Female,25-34
CU00000070,Pune,Maharashtra,Young Professionals,Male,18-24
CU00000071,Mumbai,Maharashtra,Young Professionals,Male,18-24
CU00000072,Hyderabad,Telangana,Parents,Female,18-24
CU00000073,Mumbai,Maharashtra,Parents,Female,18-24
CU00000074,Delhi,Delhi,Young Professionals,Male,25-34
CU00000075,Pune,Maharashtra,Parents,Female,18-24
CU00000076,Hyderabad,Telangana,Corporate,Female,35-44
CU00000077,Pune,Maharashtra,Fitness Enthusiasts,Male,25-34
