factor_id,date,holiday_flag,festival_flag,weather,competitor_spend,discount_percentage
EF001,2024-01-01,No,No,Cloudy,348036,20
EF002,2024-01-02,No,No,Sunny,196882,0
EF003,2024-01-03,No,No,Sunny,159932,20
EF004,2024-01-04,No,No,Cloudy,482106,10
EF005,2024-01-05,No,No,Sunny,177994,15
EF006,2024-01-06,No,No,Sunny,356620,20
EF007,2024-01-07,No,No,Rainy,163920,20
EF008,2024-01-08,No,No,Sunny,457442,5
EF009,2024-01-09,Yes,No,Sunny,312949,15
EF010,2024-01-10,No,No,Cloudy,497712,0
EF011,2024-01-11,No,No,Sunny,336946,20
EF012,2024-01-12,No,No,Cloudy,435443,5
EF013,2024-01-13,No,No,Sunny,427533,20
EF014,2024-01-14,No,No,Sunny,192525,10
EF015,2024-01-15,No,No,Cloudy,471388,20
EF016,2024-01-16,No,No,Sunny,207034,20
EF017,2024-01-17,No,No,Sunny,293421,0
EF018,2024-01-18,No,No,Rainy,422530,10
EF019,2024-01-19,No,No,Sunny,392850,5
EF020,2024-01-20,No,No,Rainy,368211,15
EF021,2024-01-21,No,No,Sunny,213282,5
EF022,2024-01-22,No,No,Sunny,337403,20
EF023,2024-01-23,No,No,Sunny,191016,5
EF024,2024-01-24,No,No,Cloudy,379938,5
EF025,2024-01-25,Yes,No,Rainy,325082,20
EF026,2024-01-26,No,No,Sunny,369165,0
EF027,2024-01-27,Yes,No,Sunny,321594,10
EF028,2024-01-28,No,No,Rainy,394497,15
EF029,2024-01-29,No,Yes,Sunny,380013,35
EF030,2024-01-30,No,No,Sunny,238739,10
EF031,2024-01-31,No,No,Cloudy,287021,15
EF032,2024-02-01,No,No,Rainy,480936,0
EF033,2024-02-02,No,No,Sunny,421154,0
EF034,2024-02-03,No,No,Sunny,447674,10
EF035,2024-02-04,No,No,Sunny,171130,0
EF036,2024-02-05,No,Yes,Sunny,272917,20
EF037,2024-02-06,No,No,Cloudy,405394,15
EF038,2024-02-07,No,No,Sunny,313034,15
EF039,2024-02-08,No,No,Sunny,206252,15
EF040,2024-02-09,No,No,Cloudy,349854,15
EF041,2024-02-10,Yes,No,Sunny,413357,0
EF042,2024-02-11,No,No,Sunny,193282,0
EF043,2024-02-12,No,No,Sunny,412296,10
EF044,2024-02-13,No,No,Sunny,459881,15
EF045,2024-02-14,No,No,Cloudy,425479,10
EF046,2024-02-15,No,Yes,Sunny,379052,40
EF047,2024-02-16,No,No,Sunny,371750,0
EF048,2024-02-17,Yes,No,Cloudy,246772,5
EF049,2024-02-18,No,No,Sunny,250430,0
EF050,2024-02-19,No,No,Cloudy,471609,0
EF051,2024-02-20,No,No,Cloudy,172162,0
EF052,2024-02-21,No,No,Sunny,421779,0
EF053,2024-02-22,No,No,Sunny,317521,0
EF054,2024-02-23,No,No,Sunny,246109,15
EF055,2024-02-24,No,No,Cloudy,262901,15
EF056,2024-02-25,No,No,Sunny,245926,5
EF057,2024-02-26,No,No,Cloudy,181006,20
EF058,2024-02-27,No,No,Sunny,255533,0
EF059,2024-02-28,No,No,Cloudy,343427,20
EF060,2024-02-29,No,No,Cloudy,390940,0
EF061,2024-03-01,No,No,Cloudy,244383,20
EF062,2024-03-02,No,No,Cloudy,307500,0
EF063,2024-03-03,Yes,No,Rainy,429495,20
EF064,2024-03-04,No,No,Rainy,268678,10
EF065,2024-03-05,No,No,Sunny,419722,5
EF066,2024-03-06,No,No,Cloudy,474141,10
EF067,2024-03-07,No,No,Rainy,464350,5
EF068,2024-03-08,No,No,Rainy,361397,20
EF069,2024-03-09,No,No,Cloudy,484394,15
EF070,2024-03-10,No,No,Rainy,448364,20
EF071,2024-03-11,No,No,Sunny,432554,5
EF072,2024-03-12,No,No,Cloudy,221581,5
EF073,2024-03-13,No,No,Rainy,474668,10
EF074,2024-03-14,Yes,No,Rainy,256641,0
EF075,2024-03-15,No,Yes,Rainy,334718,40
EF076,2024-03-16,No,No,Rainy,313012,0
EF077,2024-03-17,No,No,Rainy,267976,5
EF078,2024-03-18,No,No,Cloudy,192874,0
EF079,2024-03-19,No,No,Rainy,469654,0
EF080,2024-03-20,No,No,Cloudy,274748,5
EF081,2024-03-21,No,No,Cloudy,493374,5
EF082,2024-03-22,No,No,Cloudy,155779,0
EF083,2024-03-23,No,No,Rainy,323417,20
EF084,2024-03-24,No,Yes,Sunny,275845,40
EF085,2024-03-25,No,No,Cloudy,478236,15
EF086,2024-03-26,No,No,Rainy,440760,10
EF087,2024-03-27,No,No,Sunny,364170,0
EF088,2024-03-28,No,No,Rainy,470315,15
EF089,2024-03-29,No,No,Sunny,323349,5
EF090,2024-03-30,No,No,Rainy,405114,15
EF091,2024-03-31,No,No,Sunny,484476,20
EF092,2024-04-01,No,No,Sunny,291828,0
EF093,2024-04-02,Yes,No,Rainy,276607,15
EF094,2024-04-03,No,No,Rainy,490880,15
EF095,2024-04-04,No,No,Cloudy,271706,15
EF096,2024-04-05,No,No,Cloudy,365028,15
EF097,2024-04-06,No,No,Sunny,387058,5
EF098,2024-04-07,No,No,Cloudy,378095,0
EF099,2024-04-08,No,No,Sunny,175845,20
EF100,2024-04-09,No,No,Sunny,420728,10
EF101,2024-04-10,No,No,Sunny,187456,10
EF102,2024-04-11,No,No,Rainy,158767,10
EF103,2024-04-12,No,No,Cloudy,214561,20
EF104,2024-04-13,No,Yes,Cloudy,256866,30
EF105,2024-04-14,No,No,Rainy,384870,0
EF106,2024-04-15,No,No,Cloudy,372156,10
EF107,2024-04-16,No,No,Rainy,305962,5
EF108,2024-04-17,No,No,Cloudy,199716,20
EF109,2024-04-18,No,Yes,Sunny,416890,30
EF110,2024-04-19,No,No,Cloudy,187601,0
EF111,2024-04-20,No,No,Rainy,363929,10
EF112,2024-04-21,No,No,Sunny,498832,15
EF113,2024-04-22,Yes,No,Cloudy,435075,15
EF114,2024-04-23,No,No,Rainy,270858,15
EF115,2024-04-24,No,No,Rainy,497307,20
EF116,2024-04-25,No,No,Rainy,218691,15
EF117,2024-04-26,No,No,Cloudy,406360,10
EF118,2024-04-27,No,No,Sunny,305081,5
EF119,2024-04-28,No,No,Cloudy,159984,20
EF120,2024-04-29,No,No,Rainy,472638,10
EF121,2024-04-30,No,No,Sunny,298436,15
EF122,2024-05-01,No,No,Rainy,197055,15
EF123,2024-05-02,No,No,Rainy,289397,0
EF124,2024-05-03,No,No,Cloudy,432954,10
EF125,2024-05-04,No,No,Sunny,292243,20
EF126,2024-05-05,No,No,Sunny,221699,0
EF127,2024-05-06,No,No,Sunny,471595,0
EF128,2024-05-07,No,No,Sunny,356283,10
EF129,2024-05-08,No,No,Sunny,400085,10
EF130,2024-05-09,No,No,Cloudy,379994,10
EF131,2024-05-10,No,No,Sunny,368510,5
EF132,2024-05-11,No,No,Sunny,417179,15
EF133,2024-05-12,No,No,Rainy,232511,15
EF134,2024-05-13,No,No,Rainy,417891,5
EF135,2024-05-14,No,No,Cloudy,290763,0
EF136,2024-05-15,No,No,Cloudy,431310,5
EF137,2024-05-16,No,No,Sunny,190184,20
EF138,2024-05-17,No,No,Sunny,201496,15
EF139,2024-05-18,No,No,Sunny,447265,0
EF140,2024-05-19,No,No,Rainy,433724,0
EF141,2024-05-20,No,No,Cloudy,471597,15
EF142,2024-05-21,No,No,Rainy,170417,20
EF143,2024-05-22,No,No,Rainy,167453,15
EF144,2024-05-23,No,No,Sunny,224795,10
EF145,2024-05-24,No,No,Rainy,360217,5
EF146,2024-05-25,No,No,Rainy,211767,15
EF147,2024-05-26,No,No,Cloudy,320810,15
EF148,2024-05-27,No,No,Cloudy,207480,10
EF149,2024-05-28,No,No,Cloudy,254414,0
EF150,2024-05-29,No,No,Cloudy,392287,0
EF151,2024-05-30,No,No,Cloudy,364334,10
EF152,2024-05-31,No,No,Sunny,202326,10
EF153,2024-06-01,No,No,Rainy,316618,10
EF154,2024-06-02,No,No,Sunny,252872,15
EF155,2024-06-03,No,No,Cloudy,471686,0
EF156,2024-06-04,Yes,No,Rainy,228599,0
EF157,2024-06-05,No,No,Rainy,444292,20
EF158,2024-06-06,No,No,Rainy,201377,15
EF159,2024-06-07,No,No,Rainy,355717,5
EF160,2024-06-08,No,No,Cloudy,396568,5
EF161,2024-06-09,No,Yes,Rainy,338426,40
EF162,2024-06-10,No,No,Rainy,242976,15
EF163,2024-06-11,No,No,Rainy,291290,10
EF164,2024-06-12,No,No,Rainy,493118,15
EF165,2024-06-13,No,No,Cloudy,396508,5
EF166,2024-06-14,No,No,Cloudy,319382,10
EF167,2024-06-15,No,No,Sunny,451299,0
EF168,2024-06-16,No,No,Cloudy,435388,15
EF169,2024-06-17,No,No,Cloudy,433142,15
EF170,2024-06-18,No,No,Rainy,268666,20
EF171,2024-06-19,No,No,Sunny,282064,10
EF172,2024-06-20,No,No,Rainy,488449,5
EF173,2024-06-21,No,No,Sunny,300827,5
EF174,2024-06-22,No,No,Sunny,239682,15
EF175,2024-06-23,No,No,Rainy,345339,0
EF176,2024-06-24,No,No,Rainy,412531,20
EF177,2024-06-25,No,No,Rainy,454346,5
EF178,2024-06-26,No,No,Rainy,312114,5
EF179,2024-06-27,No,No,Cloudy,486926,15
EF180,2024-06-28,No,No,Cloudy,479420,5
EF181,2024-06-29,Yes,No,Rainy,216652,0
EF182,2024-06-30,No,No,Sunny,296448,0
EF183,2024-07-01,Yes,No,Rainy,352348,15
EF184,2024-07-02,No,No,Cloudy,207217,20
EF185,2024-07-03,No,No,Cloudy,303365,15
EF186,2024-07-04,No,No,Cloudy,161351,20
EF187,2024-07-05,No,No,Cloudy,397517,5
EF188,2024-07-06,Yes,No,Rainy,382989,5
EF189,2024-07-07,No,No,Cloudy,286985,0
EF190,2024-07-08,No,No,Rainy,342165,15
EF191,2024-07-09,No,No,Rainy,310124,10
EF192,2024-07-10,No,No,Rainy,209212,15
EF193,2024-07-11,No,No,Cloudy,398786,5
EF194,2024-07-12,No,No,Rainy,356358,10
EF195,2024-07-13,No,No,Sunny,301402,5
EF196,2024-07-14,No,No,Rainy,412129,0
EF197,2024-07-15,No,No,Rainy,166803,20
EF198,2024-07-16,No,No,Rainy,385022,20
EF199,2024-07-17,No,No,Rainy,300988,10
EF200,2024-07-18,No,No,Rainy,319654,0
EF201,2024-07-19,No,No,Cloudy,312825,0
EF202,2024-07-20,No,No,Sunny,290499,15
EF203,2024-07-21,No,No,Rainy,382116,20
EF204,2024-07-22,No,No,Cloudy,350409,10
EF205,2024-07-23,No,No,Rainy,229373,10
EF206,2024-07-24,No,No,Rainy,330890,5
EF207,2024-07-25,No,No,Cloudy,304695,5
EF208,2024-07-26,No,No,Sunny,284681,15
EF209,2024-07-27,No,No,Sunny,409263,20
EF210,2024-07-28,No,No,Sunny,271080,10
EF211,2024-07-29,No,No,Sunny,347462,10
EF212,2024-07-30,No,No,Sunny,349472,0
EF213,2024-07-31,No,No,Rainy,410910,20
EF214,2024-08-01,No,No,Rainy,270965,15
EF215,2024-08-02,No,No,Rainy,271672,15
EF216,2024-08-03,No,No,Cloudy,422769,10
EF217,2024-08-04,No,No,Rainy,396119,10
EF218,2024-08-05,No,No,Sunny,267139,5
EF219,2024-08-06,No,No,Sunny,172739,20
EF220,2024-08-07,No,Yes,Sunny,251554,25
EF221,2024-08-08,No,No,Sunny,383893,10
EF222,2024-08-09,No,No,Sunny,294915,20
EF223,2024-08-10,No,No,Cloudy,477347,0
EF224,2024-08-11,No,No,Rainy,154860,0
EF225,2024-08-12,No,No,Cloudy,307875,0
EF226,2024-08-13,No,No,Cloudy,224213,10
EF227,2024-08-14,No,No,Rainy,424142,10
EF228,2024-08-15,No,No,Cloudy,493634,20
EF229,2024-08-16,No,No,Rainy,449601,20
EF230,2024-08-17,No,No,Sunny,238236,20
EF231,2024-08-18,No,No,Sunny,156100,0
EF232,2024-08-19,No,No,Rainy,391163,20
EF233,2024-08-20,No,No,Cloudy,450244,5
EF234,2024-08-21,No,No,Rainy,414122,20
EF235,2024-08-22,No,No,Rainy,199031,0
EF236,2024-08-23,No,No,Rainy,190649,15
EF237,2024-08-24,Yes,No,Rainy,463481,10
EF238,2024-08-25,Yes,No,Rainy,302105,0
EF239,2024-08-26,No,No,Rainy,479654,0
EF240,2024-08-27,No,No,Rainy,159051,5
EF241,2024-08-28,No,No,Rainy,193165,20
EF242,2024-08-29,No,No,Rainy,427974,10
EF243,2024-08-30,No,No,Rainy,351293,20
EF244,2024-08-31,Yes,No,Sunny,227700,5
EF245,2024-09-01,No,No,Sunny,421610,0
EF246,2024-09-02,No,No,Rainy,286307,5
EF247,2024-09-03,No,No,Rainy,396208,20
EF248,2024-09-04,No,No,Rainy,433653,15
EF249,2024-09-05,No,No,Rainy,243857,0
EF250,2024-09-06,No,No,Cloudy,467418,15
EF251,2024-09-07,No,No,Rainy,230361,5
EF252,2024-09-08,No,No,Rainy,456460,0
EF253,2024-09-09,No,No,Rainy,302541,5
EF254,2024-09-10,No,No,Rainy,301231,5
EF255,2024-09-11,No,No,Cloudy,484992,10
EF256,2024-09-12,No,No,Rainy,201501,15
EF257,2024-09-13,No,No,Sunny,228053,5
EF258,2024-09-14,No,No,Rainy,307278,10
EF259,2024-09-15,No,No,Rainy,293841,15
EF260,2024-09-16,No,No,Rainy,306019,15
EF261,2024-09-17,No,No,Rainy,372184,5
EF262,2024-09-18,No,No,Sunny,335264,5
EF263,2024-09-19,No,No,Sunny,155837,15
EF264,2024-09-20,No,No,Rainy,298833,0
EF265,2024-09-21,Yes,No,Rainy,444966,20
EF266,2024-09-22,No,No,Rainy,262365,15
EF267,2024-09-23,No,No,Rainy,263068,15
EF268,2024-09-24,No,No,Rainy,245659,20
EF269,2024-09-25,No,No,Rainy,337040,5
EF270,2024-09-26,No,No,Rainy,252971,0
EF271,2024-09-27,No,No,Rainy,417501,20
EF272,2024-09-28,No,No,Rainy,203071,5
EF273,2024-09-29,No,No,Cloudy,282807,0
EF274,2024-09-30,No,No,Sunny,245063,20
EF275,2024-10-01,No,No,Sunny,158582,10
EF276,2024-10-02,No,Yes,Sunny,193546,35
EF277,2024-10-03,No,Yes,Cloudy,379162,25
EF278,2024-10-04,No,No,Cloudy,273640,20
EF279,2024-10-05,No,Yes,Sunny,302070,40
EF280,2024-10-06,No,No,Cloudy,272381,15
EF281,2024-10-07,No,No,Sunny,357882,15
EF282,2024-10-08,No,No,Cloudy,367455,20
EF283,2024-10-09,No,Yes,Sunny,212961,30
EF284,2024-10-10,No,Yes,Rainy,193392,35
EF285,2024-10-11,No,Yes,Cloudy,465311,25
EF286,2024-10-12,No,No,Cloudy,408399,0
EF287,2024-10-13,No,No,Rainy,338810,5
EF288,2024-10-14,No,Yes,Sunny,386059,40
EF289,2024-10-15,No,No,Cloudy,331153,0
EF290,2024-10-16,No,No,Sunny,255419,10
EF291,2024-10-17,No,No,Cloudy,437673,10
EF292,2024-10-18,No,No,Sunny,471102,15
EF293,2024-10-19,No,No,Cloudy,153566,15
EF294,2024-10-20,No,No,Cloudy,160236,10
EF295,2024-10-21,No,No,Rainy,468294,20
EF296,2024-10-22,Yes,No,Sunny,368101,0
EF297,2024-10-23,No,No,Sunny,312961,5
EF298,2024-10-24,No,No,Sunny,269541,0
EF299,2024-10-25,No,Yes,Cloudy,296439,30
EF300,2024-10-26,No,Yes,Cloudy,216209,25
EF301,2024-10-27,No,Yes,Sunny,341045,40
EF302,2024-10-28,No,No,Cloudy,259433,15
EF303,2024-10-29,No,No,Cloudy,269345,20
EF304,2024-10-30,No,No,Sunny,192239,5
EF305,2024-10-31,No,Yes,Rainy,172057,40
EF306,2024-11-01,No,No,Sunny,155323,0
EF307,2024-11-02,Yes,No,Sunny,216749,0
EF308,2024-11-03,No,No,Sunny,176823,5
EF309,2024-11-04,Yes,No,Cloudy,488129,0
EF310,2024-11-05,No,No,Sunny,181659,15
EF311,2024-11-06,No,No,Sunny,274350,0
EF312,2024-11-07,No,No,Sunny,271488,20
EF313,2024-11-08,No,No,Cloudy,462283,5
EF314,2024-11-09,No,No,Sunny,176480,0
